Abschnitt,Abteilung,Gruppe,Klasse,Art,Code,Name_de
"A","","","","","A","LAND- UND FORSTWIRTSCHAFT, FISCHEREI"
"","","","","162303","162303","Herstellung von sonstigen vorfabrizierten Holzbausystemen und Fertigteilbauteilen aus Holz"
"","","","1624","","1624","Herstellung von Verpackungsmitteln, Lagerbehältern und Ladungsträgern aus Holz"
"","","","","162400","162400","Herstellung von Verpackungsmitteln, Lagerbehältern und Ladungsträgern aus Holz"
"","","","1629","","1629","Herstellung von Holzwaren a. n. g, Kork-, Flecht- und Korbwaren (ohne Möbel)"
"","","","","162900","162900","Herstellung von Holzwaren a. n. g, Kork-, Flecht- und Korbwaren (ohne Möbel)"
"","17","","","","17","Herstellung von Papier, Pappe und Waren daraus"
"","","171","","","171","Herstellung von Holz- und Zellstoff, Papier, Karton und Pappe"
"","","","1711","","1711","Herstellung von Holz- und Zellstoff"
"","","","","171100","171100","Herstellung von Holz- und Zellstoff"
"","","","1712","","1712","Herstellung von Papier, Karton und Pappe"
"","","","","171200","171200","Herstellung von Papier, Karton und Pappe"
"","","172","","","172","Herstellung von Waren aus Papier, Karton und Pappe"
"","","","1721","","1721","Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe"
"","","","","172100","172100","Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe"
"","","","1722","","1722","Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe"
"","","","","172200","172200","Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe"
"","","","1723","","1723","Herstellung von Schreibwaren und Bürobedarf aus Papier, Karton und Pappe"
"","","","","172300","172300","Herstellung von Schreibwaren und Bürobedarf aus Papier, Karton und Pappe"
"","","","1724","","1724","Herstellung von Tapeten"
"","","","","172400","172400","Herstellung von Tapeten"
"","","","1729","","1729","Herstellung von sonstigen Waren aus Papier, Karton und Pappe"
"","","","","172900","172900","Herstellung von sonstigen Waren aus Papier, Karton und Pappe"
"","18","","","","18","Herstellung von Druckerzeugnissen; Vervielfältigung von bespielten Ton-, Bild- und Datenträgern"
"","","181","","","181","Herstellung von Druckerzeugnissen"
"","","","1811","","1811","Drucken von Zeitungen"
"","","","","181100","181100","Drucken von Zeitungen"
"","","","1812","","1812","Drucken a. n. g."
"","","","","181201","181201","Offsetdruck"
"","","","","181202","181202","Siebdruck"
"","","","","181203","181203","Lichtpause- und Reprografiebetriebe"
"","","","","181204","181204","Sonstiges Drucken a. n. g."
"","","","1813","","1813","Druck- und Medienvorstufe"
"","","","","181301","181301","Erbringung von druckvorbereitenden Dienstleistungen"
"","","","","181302","181302","Erbringung von sonstigen druckbezogenen Dienstleistungen a. n. g."
"","","","1814","","1814","Binden von Druckerzeugnissen und damit verbundene Dienstleistungen"
"","","","","181400","181400","Binden von Druckerzeugnissen und damit verbundene Dienstleistungen"
"","","182","","","182","Vervielfältigung von bespielten Ton-, Bild- und Datenträgern"
"","","","1820","","1820","Vervielfältigung von bespielten Ton-, Bild- und Datenträgern"
"","","","","182000","182000","Vervielfältigung von bespielten Ton-, Bild- und Datenträgern"
"","19","","","","19","Kokerei und Mineralölverarbeitung"
"","","191","","","191","Kokerei"
"","","","1910","","1910","Kokerei"
"","","","","191000","191000","Kokerei"
"","","192","","","192","Mineralölverarbeitung"
"","","","1920","","1920","Mineralölverarbeitung"
"","","","","192000","192000","Mineralölverarbeitung"
"","20","","","","20","Herstellung von chemischen Erzeugnissen"
"","","201","","","201","Herstellung von chemischen Grundstoffen, Düngemitteln und Stickstoffverbindungen, Kunststoffen in Primärformen und synthetischem Kautschuk in Primärformen"
"","","","2011","","2011","Herstellung von Industriegasen"
"","","","","201100","201100","Herstellung von Industriegasen"
"","","","2012","","2012","Herstellung von Farbstoffen und Pigmenten"
"","","","","201200","201200","Herstellung von Farbstoffen und Pigmenten"
"","","","2013","","2013","Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien"
"","","","","201300","201300","Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien"
"","","","2014","","2014","Herstellung von sonstigen organischen Grundstoffen und Chemikalien"
"","","","","201400","201400","Herstellung von sonstigen organischen Grundstoffen und Chemikalien"
"","","","2015","","2015","Herstellung von Düngemitteln und Stickstoffverbindungen"
"","","","","201500","201500","Herstellung von Düngemitteln und Stickstoffverbindungen"
"","","","2016","","2016","Herstellung von Kunststoffen in Primärformen"
"","","","","201600","201600","Herstellung von Kunststoffen in Primärformen"
"","","","2017","","2017","Herstellung von synthetischem Kautschuk in Primärformen"
"","","","","201700","201700","Herstellung von synthetischem Kautschuk in Primärformen"
"","","202","","","202","Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln"
"","","","2020","","2020","Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln"
"","","","","202000","202000","Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln"
"","","203","","","203","Herstellung von Anstrichmitteln, Druckfarben und Kitten"
"","","","2030","","2030","Herstellung von Anstrichmitteln, Druckfarben und Kitten"
"","","","","203000","203000","Herstellung von Anstrichmitteln, Druckfarben und Kitten"
"","","204","","","204","Herstellung von Seifen, Wasch-, Reinigungs- und Körperpflegemitteln sowie von Duftstoffen"
"","","","2041","","2041","Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln"
"","","","","204100","204100","Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln"
"","","","2042","","2042","Herstellung von Körperpflegemitteln und Duftstoffen"
"","","","","204200","204200","Herstellung von Körperpflegemitteln und Duftstoffen"
"","","205","","","205","Herstellung von sonstigen chemischen Erzeugnissen"
"","","","2051","","2051","Herstellung von pyrotechnischen Erzeugnissen"
"","","","","205100","205100","Herstellung von pyrotechnischen Erzeugnissen"
"","","","2052","","2052","Herstellung von Klebstoffen"
"","","","","205200","205200","Herstellung von Klebstoffen"
"","","","2053","","2053","Herstellung von ätherischen Ölen"
"","","","","205300","205300","Herstellung von ätherischen Ölen"
"","","","2059","","2059","Herstellung von sonstigen chemischen Erzeugnissen a. n. g."
"","","","","205900","205900","Herstellung von sonstigen chemischen Erzeugnissen a. n. g."
"","","206","","","206","Herstellung von Chemiefasern"
"","","","2060","","2060","Herstellung von Chemiefasern"
"","","","","206000","206000","Herstellung von Chemiefasern"
"","21","","","","21","Herstellung von pharmazeutischen Erzeugnissen"
"","","211","","","211","Herstellung von pharmazeutischen Grundstoffen"
"","","","2110","","2110","Herstellung von pharmazeutischen Grundstoffen"
"","","","","211000","211000","Herstellung von pharmazeutischen Grundstoffen"
"","","212","","","212","Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen"
"","","","2120","","2120","Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen"
"","","","","212000","212000","Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen"
"","22","","","","22","Herstellung von Gummi- und Kunststoffwaren"
"","","221","","","221","Herstellung von Gummiwaren"
"","","","2211","","2211","Herstellung und Runderneuerung von Bereifungen"
"","","","","221100","221100","Herstellung und Runderneuerung von Bereifungen"
"","","","2219","","2219","Herstellung von sonstigen Gummiwaren"
"","","","","221900","221900","Herstellung von sonstigen Gummiwaren"
"","","222","","","222","Herstellung von Kunststoffwaren"
"","","","2221","","2221","Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen"
"","","","","222100","222100","Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen"
"","","","2222","","2222","Herstellung von Verpackungsmitteln aus Kunststoffen"
