Section,Division,Group,Class,Type,Code,Name_en
"A","","","","","A","AGRICULTURE, FORESTRY AND FISHING"
"","16","","","","16","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"","","161","","","161","Sawmilling and planing of wood"
"","","","1610","","1610","Sawmilling and planing of wood"
"","","","","161001","161001","Sawmilling"
"","","","","161002","161002","Planing and surface treatment of wood"
"","","","","161003","161003","Impregnation of wood"
"","","162","","","162","Manufacture of products of wood, cork, straw and plaiting materials"
"","","","1621","","1621","Manufacture of veneer sheets and wood-based panels"
"","","","","162100","162100","Manufacture of veneer sheets and wood-based panels"
"","","","1622","","1622","Manufacture of assembled parquet floors"
"","","","","162200","162200","Manufacture of assembled parquet floors"
"","","","1623","","1623","Manufacture of other builders' carpentry and joinery"
"","","","","162301","162301","Builder's joinery, wooden windows and doors"
"","","","","162302","162302","Interior joinery"
"","","","","162303","162303","Manufacture of other builders' carpentry and joinery of wood"
"","","","1624","","1624","Manufacture of wooden containers"
"","","","","162400","162400","Manufacture of wooden containers"
"","","","1629","","1629","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"","","","","162900","162900","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"","17","","","","17","Manufacture of paper and paper products"
"","","171","","","171","Manufacture of pulp, paper and paperboard"
"","","","1711","","1711","Manufacture of pulp"
"","","","","171100","171100","Manufacture of pulp"
"","","","1712","","1712","Manufacture of paper and paperboard"
"","","","","171200","171200","Manufacture of paper and paperboard"
"","","172","","","172","Manufacture of articles of paper and paperboard"
"","","","1721","","1721","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
"","","","","172100","172100","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
"","","","1722","","1722","Manufacture of household and sanitary goods and of toilet requisites"
"","","","","172200","172200","Manufacture of household and sanitary goods and of toilet requisites"
"","","","1723","","1723","Manufacture of paper stationery"
"","","","","172300","172300","Manufacture of paper stationery"
"","","","1724","","1724","Manufacture of wallpaper"
"","","","","172400","172400","Manufacture of wallpaper"
"","","","1729","","1729","Manufacture of other articles of paper and paperboard"
"","","","","172900","172900","Manufacture of other articles of paper and paperboard"
"","18","","","","18","Printing and reproduction of recorded media"
"","","181","","","181","Printing and service activities related to printing"
"","","","1811","","1811","Printing of newspapers"
"","","","","181100","181100","Printing of newspapers"
"","","","1812","","1812","Other Printing"
"","","","","181201","181201","Offset printing"
"","","","","181202","181202","Screen printing"
"","","","","181203","181203","Diazo printing and reproduction graphics"
"","","","","181204","181204","Other printing n.e.c."
"","","","1813","","1813","Pre-press and pre-media services"
"","","","","181301","181301","Composition and plate-making"
"","","","","181302","181302","Other activities related to printing"
"","","","1814","","1814","Binding and related services"
"","","","","181400","181400","Binding and related services"
"","","182","","","182","Reproduction of recorded media"
"","","","1820","","1820","Reproduction of recorded media"
"","","","","182000","182000","Reproduction of recorded media"
"","19","","","","19","Manufacture of coke and refined petroleum products"
"","","191","","","191","Manufacture of coke oven products"
"","","","1910","","1910","Manufacture of coke oven products"
"","","","","191000","191000","Manufacture of coke oven products"
"","","192","","","192","Manufacture of refined petroleum products"
"","","","1920","","1920","Manufacture of refined petroleum products"
"","","","","192000","192000","Manufacture of refined petroleum products"
"","20","","","","20","Manufacture of chemicals and chemical products"
"","","201","","","201","Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
"","","","2011","","2011","Manufacture of industrial gases"
"","","","","201100","201100","Manufacture of industrial gases"
"","","","2012","","2012","Manufacture of dyes and pigments"
"","","","","201200","201200","Manufacture of dyes and pigments"
"","","","2013","","2013","Manufacture of other inorganic basic chemicals"
"","","","","201300","201300","Manufacture of other inorganic basic chemicals"
"","","","2014","","2014","Manufacture of other organic basic chemicals"
"","","","","201400","201400","Manufacture of other organic basic chemicals"
"","","","2015","","2015","Manufacture of fertilisers and nitrogen compounds"
"","","","","201500","201500","Manufacture of fertilisers and nitrogen compounds"
"","","","2016","","2016","Manufacture of plastics in primary forms"
"","","","","201600","201600","Manufacture of plastics in primary forms"
"","","","2017","","2017","Manufacture of synthetic rubber in primary forms"
"","","","","201700","201700","Manufacture of synthetic rubber in primary forms"
"","","202","","","202","Manufacture of pesticides and other agrochemical products"
"","","","2020","","2020","Manufacture of pesticides and other agrochemical products"
"","","","","202000","202000","Manufacture of pesticides and other agrochemical products"
"","","203","","","203","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"","","","2030","","2030","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"","","","","203000","203000","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"","","204","","","204","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"","","","2041","","2041","Manufacture of soap and detergents, cleaning and polishing preparations"
"","","","","204100","204100","Manufacture of soap and detergents, cleaning and polishing preparations"
"","","","2042","","2042","Manufacture of perfumes and toilet preparations"
"","","","","204200","204200","Manufacture of perfumes and toilet preparations"
"","","205","","","205","Manufacture of other chemical products"
"","","","2051","","2051","Manufacture of explosives"
"","","","","205100","205100","Manufacture of explosives"
"","","","2052","","2052","Manufacture of glues"
"","","","","205200","205200","Manufacture of glues"
"","","","2053","","2053","Manufacture of essential oils"
"","","","","205300","205300","Manufacture of essential oils"
"","","","2059","","2059","Manufacture of other chemical products n.e.c."
"","","","","205900","205900","Manufacture of other chemical products n.e.c."
"","","206","","","206","Manufacture of man-made fibres"
"","","","2060","","2060","Manufacture of man-made fibres"
"","","","","206000","206000","Manufacture of man-made fibres"
"","21","","","","21","Manufacture of basic pharmaceutical products and pharmaceutical preparations"
"","","211","","","211","Manufacture of basic pharmaceutical products"
"","","","2110","","2110","Manufacture of basic pharmaceutical products"
"","","","","211000","211000","Manufacture of basic pharmaceutical products"
"","","212","","","212","Manufacture of pharmaceutical preparations"
"","","","2120","","2120","Manufacture of pharmaceutical preparations"
"","","","","212000","212000","Manufacture of pharmaceutical preparations"
"","22","","","","22","Manufacture of rubber and plastic products"
"","","221","","","221","Manufacture of rubber products"
"","","","2211","","2211","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"","","","","221100","221100","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"","","","2219","","2219","Manufacture of other rubber products"
"","","","","221900","221900","Manufacture of other rubber products"
"","","222","","","222","Manufacture of plastics products"
"","","","2221","","2221","Manufacture of plastic plates, sheets, tubes and profiles"
"","","","","222100","222100","Manufacture of plastic plates, sheets, tubes and profiles"
"","","","2222","","2222","Manufacture of plastic packing goods"
"","","","","222200","222200","Manufacture of plastic packing goods"
"","","","2223","","2223","Manufacture of builders' ware of plastic"
"","","","","222300","222300","Manufacture of builders' ware of plastic"
"","","","2229","","2229","Manufacture of other plastic products"
"","","","","222900","222900","Manufacture of other plastic products"
"","23","","","","23","Manufacture of other non-metallic mineral products"
"","","231","","","231","Manufacture of glass and glass products"
"","","","2311","","2311","Manufacture of flat glass"
"","","","","231100","231100","Manufacture of flat glass"
"","","","2312","","2312","Shaping and processing of flat glass"
"","","","","231200","231200","Shaping and processing of flat glass"
"","","","2313","","2313","Manufacture of hollow glass"
"","","","","231300","231300","Manufacture of hollow glass"
"","","","2314","","2314","Manufacture of glass fibres"
"","","","","231400","231400","Manufacture of glass fibres"
"","","","2319","","2319","Manufacture and processing of other glass, including technical glassware"
"","","","","231900","231900","Manufacture and processing of other glass, including technical glassware"
"","","232","","","232","Manufacture of refractory products"
"","","","2320","","2320","Manufacture of refractory products"
"","","","","232000","232000","Manufacture of refractory products"
"","","233","","","233","Manufacture of clay building materials"
"","","","2331","","2331","Manufacture of ceramic tiles and flags"
"","","","","233100","233100","Manufacture of ceramic tiles and flags"
"","","","2332","","2332","Manufacture of bricks, tiles and construction products, in baked clay"
"","","","","233200","233200","Manufacture of bricks, tiles and construction products, in baked clay"
"","","234","","","234","Manufacture of other porcelain and ceramic products"
"","","","2341","","2341","Manufacture of ceramic household and ornamental articles"
"","","","","234100","234100","Manufacture of ceramic household and ornamental articles"
"","","","2342","","2342","Manufacture of ceramic sanitary fixtures"
"","","","","234200","234200","Manufacture of ceramic sanitary fixtures"
"","","","2343","","2343","Manufacture of ceramic insulators and insulating fittings"
"","","","","234300","234300","Manufacture of ceramic insulators and insulating fittings"
"","","","2344","","2344","Manufacture of other technical ceramic products"
"","","","","234400","234400","Manufacture of other technical ceramic products"
"","","","2349","","2349","Manufacture of other ceramic products"
"","","","","234900","234900","Manufacture of other ceramic products"
"","","235","","","235","Manufacture of cement, lime and plaster"
"","","","2351","","2351","Manufacture of cement"
"","","","","235100","235100","Manufacture of cement"
"","","","2352","","2352","Manufacture of lime and plaster"
"","","","","235200","235200","Manufacture of lime and plaster"
"","","236","","","236","Manufacture of articles of concrete, cement and plaster"
"","","","2361","","2361","Manufacture of concrete products for construction purposes"
"","","","","236100","236100","Manufacture of concrete products for construction purposes"
"","","","2362","","2362","Manufacture of plaster products for construction purposes"
"","","","","236200","236200","Manufacture of plaster products for construction purposes"
"","","","2363","","2363","Manufacture of ready-mixed concrete"
"","","","","236300","236300","Manufacture of ready-mixed concrete"
"","","","2364","","2364","Manufacture of mortars"
"","","","","236400","236400","Manufacture of mortars"
"","","","2365","","2365","Manufacture of fibre cement"
"","","","","236500","236500","Manufacture of fibre cement"
"","","","2369","","2369","Manufacture of other articles of concrete, plaster and cement"
"","","","","236900","236900","Manufacture of other articles of concrete, plaster and cement"
"","","237","","","237","Cutting, shaping and finishing of stone"
"","","","2370","","2370","Cutting, shaping and finishing of stone"
"","","","","237000","237000","Cutting, shaping and finishing of stone"
"","","239","","","239","Manufacture of abrasive products and non-metallic mineral products n.e.c."
"","","","2391","","2391","Production of abrasive products"
"","","","","239100","239100","Production of abrasive products"
"","","","2399","","2399","Manufacture of other non-metallic mineral products n.e.c."
"","","","","239901","239901","Manufacture of asphalt products"
"","","","","239902","239902","Manufacture of other non-metallic mineral products n.e.c."
"","24","","","","24","Manufacture of basic metals"
"","","241","","","241","Manufacture of basic iron and steel and of ferro-alloys"
"","","","2410","","2410","Manufacture of basic iron and steel and of ferro-alloys"
"","","","","241000","241000","Manufacture of basic iron and steel and of ferro-alloys"
"","","242","","","242","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"","","","2420","","2420","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"","","","","242000","242000","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
