Section,Division,Groupe,Classe,Genre,Code,Name_fr
"A","","","","","A","AGRICULTURE, SYLVICULTURE ET PÊCHE"
"","","","","205100","205100","Fabrication de produits explosifs"
"","","","2052","","2052","Fabrication de colles"
"","","","","205200","205200","Fabrication de colles"
"","","","2053","","2053","Fabrication d'huiles essentielles"
"","","","","205300","205300","Fabrication d'huiles essentielles"
"","","","2059","","2059","Fabrication d'autres produits chimiques n.c.a."
"","","","","205900","205900","Fabrication d'autres produits chimiques n.c.a."
"","","206","","","206","Fabrication de fibres artificielles ou synthétiques"
"","","","2060","","2060","Fabrication de fibres artificielles ou synthétiques"
"","","","","206000","206000","Fabrication de fibres artificielles ou synthétiques"
"","21","","","","21","Industrie pharmaceutique"
"","","211","","","211","Fabrication de produits pharmaceutiques de base"
"","","","2110","","2110","Fabrication de produits pharmaceutiques de base"
"","","","","211000","211000","Fabrication de produits pharmaceutiques de base"
"","","212","","","212","Fabrication de préparations pharmaceutiques"
"","","","2120","","2120","Fabrication de préparations pharmaceutiques"
"","","","","212000","212000","Fabrication de préparations pharmaceutiques"
"","22","","","","22","Fabrication de produits en caoutchouc et en plastique"
"","","221","","","221","Fabrication de produits en caoutchouc"
"","","","2211","","2211","Fabrication et rechapage de pneumatiques"
"","","","","221100","221100","Fabrication et rechapage de pneumatiques"
"","","","2219","","2219","Fabrication d'autres articles en caoutchouc"
"","","","","221900","221900","Fabrication d'autres articles en caoutchouc"
"","","222","","","222","Fabrication de produits en plastique"
"","","","2221","","2221","Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
"","","","","222100","222100","Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
"","","","2222","","2222","Fabrication d'emballages en matières plastiques"
"","","","","222200","222200","Fabrication d'emballages en matières plastiques"
"","","","2223","","2223","Fabrication d'éléments en matières plastiques pour la construction"
"","","","","222300","222300","Fabrication d'éléments en matières plastiques pour la construction"
"","","","2229","","2229","Fabrication d'autres articles en matières plastiques"
"","","","","222900","222900","Fabrication d'autres articles en matières plastiques"
"","23","","","","23","Fabrication d'autres produits minéraux non métalliques"
"","","231","","","231","Fabrication de verre et d'articles en verre"
"","","","2311","","2311","Fabrication de verre plat"
"","","","","231100","231100","Fabrication de verre plat"
"","","","2312","","2312","Façonnage et transformation du verre plat"
"","","","","231200","231200","Façonnage et transformation du verre plat"
"","","","2313","","2313","Fabrication de verre creux"
"","","","","231300","231300","Fabrication de verre creux"
"","","","2314","","2314","Fabrication de fibres de verre"
"","","","","231400","231400","Fabrication de fibres de verre"
"","","","2319","","2319","Fabrication et façonnage d'autres articles en verre, y compris verre technique"
"","","","","231900","231900","Fabrication et façonnage d'autres articles en verre, y compris verre technique"
"","","232","","","232","Fabrication de produits réfractaires"
"","","","2320","","2320","Fabrication de produits réfractaires"
"","","","","232000","232000","Fabrication de produits réfractaires"
"","","233","","","233","Fabrication de matériaux de construction en terre cuite"
"","","","2331","","2331","Fabrication de carreaux en céramique"
"","","","","233100","233100","Fabrication de carreaux en céramique"
"","","","2332","","2332","Fabrication de briques, tuiles et produits de construction, en terre cuite"
"","","","","233200","233200","Fabrication de briques, tuiles et produits de construction, en terre cuite"
"","","234","","","234","Fabrication d'autres produits en céramique et en porcelaine"
"","","","2341","","2341","Fabrication d'articles céramiques à usage domestique ou ornemental"
"","","","","234100","234100","Fabrication d'articles céramiques à usage domestique ou ornemental"
"","","","2342","","2342","Fabrication d'appareils sanitaires en céramique"
"","","","","234200","234200","Fabrication d'appareils sanitaires en céramique"
"","","","2343","","2343","Fabrication d'isolateurs et pièces isolantes en céramique"
"","","","","234300","234300","Fabrication d'isolateurs et pièces isolantes en céramique"
"","","","2344","","2344","Fabrication d'autres produits céramiques à usage technique"
"","","","","234400","234400","Fabrication d'autres produits céramiques à usage technique"
"","","","2349","","2349","Fabrication d'autres produits céramiques"
"","","","","234900","234900","Fabrication d'autres produits céramiques"
"","","235","","","235","Fabrication de ciment, chaux et plâtre"
"","","","2351","","2351","Fabrication de ciment"
"","","","","235100","235100","Fabrication de ciment"
"","","","2352","","2352","Fabrication de chaux et plâtre"
"","","","","235200","235200","Fabrication de chaux et plâtre"
"","","236","","","236","Fabrication d'ouvrages en béton, en ciment ou en plâtre"
"","","","2361","","2361","Fabrication d'éléments en béton pour la construction"
"","","","","236100","236100","Fabrication d'éléments en béton pour la construction"
"","","","2362","","2362","Fabrication d'éléments en plâtre pour la construction"
"","","","","236200","236200","Fabrication d'éléments en plâtre pour la construction"
"","","","2363","","2363","Fabrication de béton prêt à l'emploi"
"","","","","236300","236300","Fabrication de béton prêt à l'emploi"
"","","","2364","","2364","Fabrication de mortiers et bétons secs"
"","","","","236400","236400","Fabrication de mortiers et bétons secs"
"","","","2365","","2365","Fabrication d'ouvrages en fibre-ciment"
"","","","","236500","236500","Fabrication d'ouvrages en fibre-ciment"
"","","","2369","","2369","Fabrication d'autres ouvrages en béton, en ciment ou en plâtre"
"","","","","236900","236900","Fabrication d'autres ouvrages en béton, en ciment ou en plâtre"
"","","237","","","237","Taille, façonnage et finissage de pierres"
"","","","2370","","2370","Taille, façonnage et finissage de pierres"
"","","","","237000","237000","Taille, façonnage et finissage de pierres"
"","","239","","","239","Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a."
"","","","2391","","2391","Fabrication de produits abrasifs"
"","","","","239100","239100","Fabrication de produits abrasifs"
"","","","2399","","2399","Fabrication d'autres produits minéraux non métalliques n.c.a."
"","","","","239901","239901","Fabrication de produits à base d'asphalte"
"","","","","239902","239902","Autres fabrications d'autres produits minéraux non métalliques n.c.a."
"","24","","","","24","Métallurgie"
"","","241","","","241","Sidérurgie"
"","","","2410","","2410","Sidérurgie"
"","","","","241000","241000","Sidérurgie"
"","","242","","","242","Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier"
"","","","2420","","2420","Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier"
"","","","","242000","242000","Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier"
"","","243","","","243","Fabrication d'autres produits de première transformation de l'acier"
"","","","2431","","2431","Étirage à froid de barres"
