Sezione,Divisione,Gruppo,,Genere,Code,Name_it
"A","","","","","A","AGRICOLTURA, SILVICOLTURA E PESCA"
"","","","","202000","202000","Fabbricazione di fitofarmaci e di altri prodotti chimici per l'agricoltura"
"","","203","","","203","Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici"
"","","","2030","","2030","Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici"
"","","","","203000","203000","Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici"
"","","204","","","204","Fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura, di profumi e cosmetici"
"","","","2041","","2041","Fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura"
"","","","","204100","204100","Fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura"
"","","","2042","","2042","Fabbricazione di profumi e cosmetici"
"","","","","204200","204200","Fabbricazione di profumi e cosmetici"
"","","205","","","205","Fabbricazione di altri prodotti chimici"
"","","","2051","","2051","Fabbricazione di esplosivi"
"","","","","205100","205100","Fabbricazione di esplosivi"
"","","","2052","","2052","Fabbricazione di colle"
"","","","","205200","205200","Fabbricazione di colle"
"","","","2053","","2053","Fabbricazione di oli essenziali"
"","","","","205300","205300","Fabbricazione di oli essenziali"
"","","","2059","","2059","Fabbricazione di altri prodotti chimici n.c.a."
"","","","","205900","205900","Fabbricazione di altri prodotti chimici n.c.a."
"","","206","","","206","Fabbricazione di fibre sintetiche e artificiali"
"","","","2060","","2060","Fabbricazione di fibre sintetiche e artificiali"
"","","","","206000","206000","Fabbricazione di fibre sintetiche e artificiali"
"","21","","","","21","Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici"
"","","211","","","211","Fabbricazione di prodotti farmaceutici di base"
"","","","2110","","2110","Fabbricazione di prodotti farmaceutici di base"
"","","","","211000","211000","Fabbricazione di prodotti farmaceutici di base"
"","","212","","","212","Fabbricazione di preparati farmaceutici"
"","","","2120","","2120","Fabbricazione di preparati farmaceutici"
"","","","","212000","212000","Fabbricazione di preparati farmaceutici"
"","22","","","","22","Fabbricazione di articoli in gomma e materie plastiche"
"","","221","","","221","Fabbricazione di articoli in gomma"
"","","","2211","","2211","Fabbricazione di pneumatici e camere d'aria; rigenerazione e ricostruzione di pneumatici"
"","","","","221100","221100","Fabbricazione di pneumatici e camere d'aria; rigenerazione e ricostruzione di pneumatici"
"","","","2219","","2219","Fabbricazione di altri prodotti in gomma"
"","","","","221900","221900","Fabbricazione di altri prodotti in gomma"
"","","222","","","222","Fabbricazione di articoli in materie plastiche"
"","","","2221","","2221","Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche"
"","","","","222100","222100","Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche"
"","","","2222","","2222","Fabbricazione di imballaggi in materie plastiche"
"","","","","222200","222200","Fabbricazione di imballaggi in materie plastiche"
"","","","2223","","2223","Fabbricazione di articoli in plastica per l'edilizia"
"","","","","222300","222300","Fabbricazione di articoli in plastica per l'edilizia"
"","","","2229","","2229","Fabbricazione di altri articoli in materie plastiche"
"","","","","222900","222900","Fabbricazione di altri articoli in materie plastiche"
